letter,count_all,count_uppercase,percentage
n,86,1,7.82
e,136,0,12.36
w,67,1,6.09
s,58,1,5.27
y,38,0,3.45
o,80,0,7.27
r,67,0,6.09
k,17,1,1.55
a,68,1,6.18
t,105,1,9.55
h,45,1,4.09
c,22,1,2.0
d,36,1,3.27
i,99,1,9.0
l,48,1,4.36
v,18,0,1.64
m,20,0,1.82
p,16,1,1.45
u,33,0,3.0
g,4,0,0.36
b,8,0,0.73
f,29,0,2.64
